10/11/2018 8:11,322,DEBUG,lr,n_est,max_depth,validation_logloss,validation_acc,training_logloss,training_acc,max_m1,min_m1,max_0,min_0,max_p1,min_1,
10/11/2018 8:12,178,DEBUG,0.05,300,4,1.025819274,0.454992276,0.79533294,0.702973978,0.855476,0.0671856,0.5872051,0.024420492,0.84860045,0.073081195,0.247981701
10/11/2018 8:15,518,DEBUG,0.05,300,4,1.013499157,0.46563776,0.797000205,0.70383488,0.78205574,0.07652462,0.5568891,0.022520682,0.83715373,0.0853508,0.23819712
10/11/2018 8:14,161,DEBUG,0.05,300,4,1.012685034,0.46598687,0.803681645,0.695957604,0.78966767,0.0791043,0.74188876,0.02435433,0.8498443,0.11279722,0.229970734
10/11/2018 8:17,723,DEBUG,0.05,300,4,1.023072023,0.466512545,0.802030724,0.690664747,0.85379267,0.07427024,0.7319698,0.023160124,0.8424606,0.09979085,0.224152202
10/11/2018 8:18,439,DEBUG,0.05,300,4,1.018096129,0.475783667,0.79908123,0.694325736,0.8251992,0.12490462,0.6864139,0.027412318,0.82261926,0.118680574,0.218542069
10/11/2018 8:12,807,DEBUG,0.05,200,4,1.018440595,0.458643449,0.851371944,0.652168525,0.82882744,0.09753574,0.51929855,0.03502545,0.81869394,0.09587598,0.193525076
10/11/2018 8:15,158,DEBUG,0.05,200,4,1.008472822,0.468613745,0.852425407,0.656936981,0.7234548,0.11560269,0.5271149,0.041521948,0.80664486,0.107480206,0.188323236
10/11/2018 8:14,851,DEBUG,0.05,200,4,1.006730963,0.467802766,0.857596428,0.645057925,0.7452747,0.10187164,0.69693106,0.03792937,0.81076485,0.13528578,0.177255159
10/11/2018 8:17,218,DEBUG,0.05,200,4,1.016695339,0.469300333,0.854557965,0.643028558,0.787495,0.110167705,0.6512282,0.03977002,0.79688406,0.12035328,0.173728225
10/11/2018 8:18,831,DEBUG,0.05,200,4,1.013401835,0.478205301,0.849413199,0.64494302,0.7742658,0.13495845,0.5850125,0.03345004,0.79361606,0.14979172,0.166737719
10/11/2018 8:12,138,DEBUG,0.05,100,4,1.010936085,0.465384075,0.91663846,0.599380421,0.7554243,0.1509213,0.44613317,0.06298728,0.76052094,0.13853121,0.133996346
10/11/2018 8:15,504,DEBUG,0.05,100,4,1.004329774,0.470413177,0.91751172,0.598070347,0.6778668,0.1832518,0.4578619,0.07713305,0.72188175,0.15246615,0.127657169
10/11/2018 8:16,420,DEBUG,0.05,100,4,1.010851697,0.472020126,0.91206194,0.591792657,0.6750257,0.16770908,0.61775786,0.07204963,0.7108031,0.15560552,0.11977253
10/11/2018 8:14,216,DEBUG,0.05,100,4,1.001894949,0.469409135,0.917109117,0.585900912,0.6825718,0.12740298,0.5961493,0.062531486,0.7591672,0.18041638,0.116491777
10/11/2018 8:18,997,DEBUG,0.05,100,4,1.010316476,0.478003498,0.908426973,0.59354226,0.6650787,0.1477917,0.5043144,0.06538978,0.7293185,0.19914958,0.115538762
10/11/2018 8:12,170,DEBUG,0.01,300,4,1.010444653,0.462786126,0.947650425,0.574597274,0.6707008,0.18431555,0.45593894,0.09989103,0.639881,0.19796929,0.111811148
10/11/2018 8:15,603,DEBUG,0.01,300,4,1.005441464,0.470067133,0.949391142,0.575598437,0.6483272,0.24031356,0.42803055,0.1085852,0.63240415,0.18885732,0.105531304
10/11/2018 8:12,237,DEBUG,0.05,50,4,1.011346648,0.463488274,0.956940703,0.565055762,0.6384056,0.19799124,0.399623,0.11374097,0.6177428,0.2033864,0.101567488
10/11/2018 8:15,610,DEBUG,0.05,50,4,1.006607233,0.470759222,0.958463341,0.56753786,0.6183253,0.242075,0.42620605,0.11709839,0.61825615,0.19785379,0.096778638
10/11/2018 8:11,696,DEBUG,0.01,200,4,1.014575856,0.461873332,0.968932308,0.558612144,0.56970745,0.20990805,0.41707608,0.12835449,0.5936741,0.22305638,0.096738811
10/11/2018 8:13,206,DEBUG,0.01,300,4,1.001712316,0.471644084,0.946641003,0.565688933,0.60092497,0.13564263,0.5587995,0.10545837,0.69179875,0.20934163,0.094044848
10/11/2018 8:16,118,DEBUG,0.01,300,4,1.009375497,0.472156116,0.942318602,0.563954884,0.6114926,0.19982561,0.6109423,0.10689735,0.6198213,0.16064145,0.091798767
10/11/2018 8:14,117,DEBUG,0.01,200,4,1.01022346,0.468406118,0.971234981,0.559110894,0.5866529,0.25169677,0.44244468,0.13336681,0.54699916,0.21397921,0.090704776
10/11/2018 8:12,239,DEBUG,0.05,300,2,1.012273314,0.458573234,0.947273412,0.548946716,0.72867453,0.11534016,0.41138455,0.054783963,0.78469795,0.13262728,0.090373482
10/11/2018 8:13,312,DEBUG,0.05,50,4,1.003226068,0.471783769,0.955187318,0.560019719,0.58158004,0.13387895,0.576994,0.12021915,0.6588416,0.19491425,0.08823595
10/11/2018 8:16,468,DEBUG,0.05,50,4,1.010313709,0.471272183,0.951785564,0.555795536,0.5685614,0.20290108,0.5955481,0.115819015,0.6240441,0.1794221,0.084523353
10/11/2018 8:18,491,DEBUG,0.01,300,4,1.0092161,0.479214315,0.939427486,0.561253561,0.60337925,0.1840046,0.43142745,0.100402154,0.65974045,0.2300694,0.082039247
10/11/2018 8:13,743,DEBUG,0.01,200,4,1.006480761,0.472761559,0.968717897,0.549790486,0.57258046,0.14128476,0.5904313,0.13619639,0.6348065,0.17806761,0.077028927
10/11/2018 8:15,560,DEBUG,0.05,300,2,1.004795964,0.467091148,0.949117617,0.542134831,0.6962081,0.14586073,0.41467687,0.048905924,0.7629828,0.14852978,0.075043683
10/11/2018 8:12,77,DEBUG,0.05,200,2,1.009854613,0.459907316,0.962922934,0.534944238,0.6957331,0.1462674,0.35886264,0.07456779,0.7355204,0.1574889,0.075036922
10/11/2018 8:18,967,DEBUG,0.05,50,4,1.010030436,0.479012512,0.948936036,0.55365622,0.5832172,0.20353472,0.3983441,0.11309181,0.64183974,0.22695273,0.074643709
10/11/2018 8:13,185,DEBUG,0.05,300,2,1.002635718,0.469339293,0.949735539,0.542519103,0.7115339,0.11826051,0.6515084,0.053383138,0.7769273,0.18489522,0.07317981
10/11/2018 8:16,454,DEBUG,0.01,200,4,1.012873983,0.473991977,0.964970539,0.546436285,0.55244195,0.20442395,0.61417687,0.13534287,0.58280087,0.16152978,0.072444308
10/11/2018 8:18,840,DEBUG,0.05,300,2,1.010482418,0.478474371,0.942487457,0.550332384,0.7044764,0.20530543,0.40130973,0.048075452,0.70073247,0.17342938,0.071858013
10/11/2018 8:14,389,DEBUG,0.01,100,4,1.028406338,0.467437193,1.008991398,0.538348803,0.5033289,0.2665414,0.40239832,0.19417894,0.47448525,0.22657306,0.07091161
10/11/2018 8:11,912,DEBUG,0.01,100,4,1.032419895,0.462715911,1.006951679,0.532961586,0.4783541,0.2619894,0.43548846,0.19196987,0.5016555,0.26716402,0.070245675
10/11/2018 8:16,406,DEBUG,0.05,300,2,1.01184417,0.471068199,0.945125814,0.540436765,0.7054746,0.106447004,0.6430941,0.043971963,0.78176856,0.1557,0.069368566
10/11/2018 8:17,697,DEBUG,0.01,200,4,1.01255461,0.479281582,0.961365297,0.548195632,0.5478679,0.22492105,0.38506526,0.12901945,0.6226294,0.2384883,0.068914049
10/11/2018 8:13,4,DEBUG,0.01,100,4,1.026352516,0.469339293,1.007198567,0.533522307,0.50867593,0.18056615,0.55768067,0.19552276,0.51362026,0.20464686,0.064183014
10/11/2018 8:16,515,DEBUG,0.01,100,4,1.029735638,0.472428095,1.004301306,0.533117351,0.46755838,0.2310185,0.53392833,0.18644941,0.49810505,0.21167186,0.060689255
10/11/2018 8:18,672,DEBUG,0.05,200,2,1.009545956,0.478945244,0.956631334,0.53679962,0.6723082,0.22657369,0.33855602,0.05909994,0.6598822,0.21327436,0.057854376
10/11/2018 8:16,124,DEBUG,0.05,200,2,1.009864626,0.469300333,0.959754815,0.527117831,0.6615722,0.14200081,0.60709774,0.06617759,0.7364299,0.1699607,0.057817497
10/11/2018 8:17,761,DEBUG,0.01,100,4,1.029526953,0.474707386,1.001176739,0.532288699,0.47491685,0.25741526,0.40958008,0.18062566,0.52633226,0.26131782,0.057581313
10/11/2018 8:11,957,DEBUG,0.01,50,4,1.054881836,0.463769134,1.040943207,0.521065675,0.42934912,0.28912786,0.40540084,0.24323992,0.44588834,0.2910929,0.057296542
10/11/2018 8:13,79,DEBUG,0.01,50,4,1.050839548,0.465637659,1.041176917,0.521567661,0.43628764,0.22784942,0.46684906,0.24295197,0.44198853,0.25646105,0.055930002
10/11/2018 8:13,144,DEBUG,0.05,200,2,1.001132723,0.470386926,0.964465683,0.524279024,0.6543368,0.14250982,0.5892294,0.06747171,0.7468631,0.22947855,0.053892098
10/11/2018 8:12,27,DEBUG,0.05,100,2,1.008088362,0.462083977,0.981270937,0.51511772,0.6283338,0.20573024,0.29556978,0.1023715,0.6380048,0.22717129,0.053033743
10/11/2018 8:16,536,DEBUG,0.01,50,4,1.052186507,0.472020126,1.039248728,0.524718023,0.41617045,0.25596908,0.45558098,0.2223575,0.44987863,0.24224102,0.052697896
10/11/2018 8:15,506,DEBUG,0.05,200,2,1.003692871,0.47283549,0.964794527,0.525158769,0.656014,0.17067045,0.3585306,0.06798683,0.7263331,0.20399858,0.052323279
10/11/2018 8:11,960,DEBUG,0.01,300,2,1.009614253,0.458924308,0.991969602,0.506319703,0.56911206,0.27761084,0.26631078,0.13294895,0.567665,0.26240987,0.047395394
10/11/2018 8:14,485,DEBUG,0.01,50,4,1.052005266,0.47352758,1.042604592,0.519662921,0.42738798,0.27361456,0.38425344,0.24386634,0.42670998,0.26658112,0.046135342
10/11/2018 8:17,748,DEBUG,0.01,50,4,1.05262929,0.470671331,1.037501836,0.514957265,0.41056716,0.2729165,0.3835793,0.22784388,0.45940536,0.2888313,0.044285934
10/11/2018 8:16,8,DEBUG,0.05,100,2,1.007737981,0.470116271,0.976581395,0.513438925,0.5795844,0.22447549,0.5633541,0.097704664,0.6395347,0.18765372,0.043322654
10/11/2018 8:12,427,DEBUG,0.05,50,2,1.011141662,0.461452043,0.99601125,0.504089219,0.552194,0.28428528,0.27048585,0.1434,0.5521828,0.26786095,0.042637176
10/11/2018 8:11,895,DEBUG,0.01,200,2,1.014756368,0.46067968,1.002329998,0.500619579,0.52834547,0.2897876,0.29100344,0.16059904,0.52194506,0.2801255,0.039939899
10/11/2018 8:18,508,DEBUG,0.05,100,2,1.008464248,0.477599892,0.973203242,0.515194682,0.5978526,0.25455007,0.27096832,0.089137696,0.5979614,0.26917273,0.037594789
10/11/2018 8:13,110,DEBUG,0.05,100,2,1.000020671,0.469409135,0.981215296,0.504806507,0.56073815,0.18843657,0.51846397,0.09277314,0.68188816,0.22557198,0.035397372
10/11/2018 8:15,434,DEBUG,0.05,100,2,1.003849709,0.475880684,0.982620523,0.506595017,0.6111732,0.23515221,0.32593986,0.1059144,0.6217517,0.20922846,0.030714333
10/11/2018 8:11,815,DEBUG,0.01,100,2,1.03321314,0.462224407,1.026277244,0.490458488,0.44391367,0.32305157,0.32514784,0.2142504,0.43692714,0.3104254,0.028234082
10/11/2018 8:16,450,DEBUG,0.01,300,2,1.008225073,0.475623853,0.987053339,0.503359731,0.53666824,0.23955807,0.5395372,0.12754735,0.55873877,0.19006884,0.027735879
10/11/2018 8:17,520,DEBUG,0.01,300,2,1.009165366,0.475581865,0.98408156,0.502492877,0.5555581,0.2679862,0.2481199,0.120713726,0.5654388,0.29198703,0.026911013
10/11/2018 8:13,79,DEBUG,0.01,300,2,1.002172993,0.469129767,0.991547737,0.495932955,0.5380144,0.20300454,0.4944452,0.13085553,0.62876207,0.2369748,0.026803189
10/11/2018 8:14,472,DEBUG,0.01,300,2,1.006283061,0.475811475,0.992869398,0.501465559,0.56478745,0.28968093,0.33177882,0.12887043,0.53810436,0.22317745,0.025654085
10/11/2018 8:18,848,DEBUG,0.05,50,2,1.010374172,0.475850935,0.988127271,0.500356125,0.5382891,0.27262655,0.25266287,0.13135782,0.54831654,0.30401194,0.02450519
10/11/2018 8:13,513,DEBUG,0.05,50,2,1.004074764,0.469129767,0.995394417,0.492975105,0.5250161,0.20764972,0.48899,0.14443491,0.59335715,0.23690616,0.023845338
10/11/2018 8:13,87,DEBUG,0.01,200,2,1.007986903,0.467453555,1.001369162,0.491126448,0.50628096,0.2185405,0.4738259,0.16080113,0.5470707,0.23849407,0.023672893
10/11/2018 8:15,832,DEBUG,0.05,50,2,1.008145218,0.475811475,0.996649406,0.49938935,0.553564,0.29048175,0.3378527,0.1401517,0.5181372,0.2285739,0.023577875
10/11/2018 8:16,383,DEBUG,0.05,50,2,1.009562583,0.476371796,0.991056699,0.499640029,0.5230361,0.23802955,0.54099387,0.14050573,0.5403673,0.1839656,0.023268233
10/11/2018 8:14,775,DEBUG,0.01,50,2,1.054254274,0.456779016,1.051680798,0.479604299,0.4027679,0.31351754,0.34474686,0.26143387,0.38661644,0.29789653,0.022825283
10/11/2018 8:16,166,DEBUG,0.01,200,2,1.012768848,0.475011899,0.99744471,0.49688025,0.49912956,0.23948035,0.5337609,0.16054592,0.5163023,0.19487314,0.02186835
10/11/2018 8:17,338,DEBUG,0.01,200,2,1.013537163,0.473294767,0.994578313,0.49465812,0.50662893,0.2810254,0.26177162,0.15406048,0.52631295,0.3090109,0.021363353
10/11/2018 8:11,124,DEBUG,0.01,50,2,1.055726467,0.463769134,1.051690313,0.484634449,0.39539203,0.32568458,0.3466497,0.26248693,0.39063606,0.32172295,0.020865315
10/11/2018 8:17,495,DEBUG,0.01,50,2,1.053879751,0.469931387,1.047398903,0.489791073,0.38199228,0.3123501,0.3143452,0.2578368,0.40546986,0.330797,0.019859686
10/11/2018 8:17,161,DEBUG,0.01,100,2,1.031248566,0.471613077,1.019882447,0.489791073,0.429432,0.31033474,0.28699723,0.21163397,0.45848015,0.31972155,0.018177996
10/11/2018 8:14,418,DEBUG,0.01,200,2,1.011891911,0.47615752,1.002892989,0.494015633,0.5282757,0.29261395,0.335312,0.15702832,0.4952854,0.24021108,0.017858113
10/11/2018 8:14,372,DEBUG,0.01,100,2,1.031081536,0.47546543,1.026250377,0.491206644,0.45762157,0.3053195,0.3402948,0.21426761,0.42803344,0.272147,0.015741214
10/11/2018 8:13,35,DEBUG,0.01,100,2,1.027504728,0.468221819,1.024871089,0.483608578,0.44763064,0.2497971,0.43590885,0.21567245,0.44866353,0.25738305,0.015386759
10/11/2018 8:16,18,DEBUG,0.01,100,2,1.03043942,0.476235806,1.021944244,0.490520758,0.44033712,0.2498288,0.47752973,0.21708377,0.45881733,0.22401518,0.014284952
10/11/2018 8:13,436,DEBUG,0.01,50,2,1.051385173,0.465917028,1.050611508,0.475104757,0.39892843,0.28221473,0.39616448,0.26017934,0.3967094,0.2814678,0.00918773
10/11/2018 8:16,377,DEBUG,0.01,50,2,1.053240346,0.472904059,1.048664409,0.48200144,0.39288926,0.26769564,0.45231184,0.2648317,0.4022536,0.24922657,0.009097381
